Row Labels
15 DE SEPTIEMBRE
4 DE JUNIO
APAGUIZ
ARSENAULT
BECERRA
CACEENP
CACEINTOL
CACESPROL
CACIBSCOL
CACIL
CACSULACTA
CAMPAMENTO
CAYCSOL
CECOEL
CEIBEÑA
CHOROTEGA
COACEHL
COOPACYL
CUNA MAYA
EDNE
EL NEGRITO
ELGA
EMPLEADOS BANPAIS
EMPLEADOS CEMCOL
EMPLEADOS IHSS
EMPLEADOS LA REYNA Y STIBYS
EMPLEADOS PODER JUDICIAL
EMPLEADOS UNAH
ESFUERZO LANGÜEÑO
FE Y ESPERANZA
FINACOOP
FRATERNIDAD HONDURAS
FRATERNIDAD PESPIRENSE
FRONTERIZA INTIBUCANA
GUANAJA
INVERSIONES HONDURAS
JUTICALPA
LA GUADALUPE
MARIA CLARET
MAS QUE VENCEDORES
MX AHORRA MAS
MX CEMENTEROS DEL NORTE
MX COMEGA
MX COMESA
MX COMESULAL
MX COMITRAFABAL
MX COMJUPENOCH
MX EL CORTIJO
MX EMPLEADOS BANCAHSA
MX EMPLEADOS BANCOCCI
MX EMPLEADOS DEL VALLE
MX EMPLEADOS DINANT
MX EMPLEADOS ENEE
MX EMPLEADOS LA MUNDIAL
MX EMPLEADOS MP
MX EMPLEADOS UNICOMER
MX EMPLEADOS VICENTE CACERES
MX FRATERNIDAD MUJERES
MX GILDAN HONTEX
MX GILDAN SAN ANTONIO
MX GILDAN SAN MIGUEL
MX GILDAN VILLA NUEVA
MX HOSIERY RIO NANCE
MX IGUALDAD
MX JUBILADOS 17 SEPTIEMBRE
MX LA PROSPERIDAD
MX LEMPIRA SUR
MX MEDICA HONDUREÑA
MX MUJERES EN ACCION
MX MUJERES UNIDAS
MX MULTIPARTICIPATIVA
MX PORTEÑA
MX PRODUCTORES INTEGRADOS
MX REGIONAL GUALEMA
MX SABANA GRANDE
MX SAN ISIDRO
MX TEXTILES MERENDON
MX UNIDAS PARA PROGRESAR
MX USULA
MX ZIP BUENA VISTA
NUEVA VIDA
OCOTEPEQUE
PACURA AGUAN
PINALEJO
PROSPERIDAD
RIO GRANDE
SAGRADA FAMILIA
SAN ANDRES
SAN MARQUEÑA
TALANGA
TAULABE
VICENTE DANTONI
YUSCARAN
EL PORVENIR
ULTRAJET
MX ESFUERZO GENTE Y TRABAJO
Grand Total
