COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
LA GUADALUPE,1,2025,2294584828,2203229096,64466371,0,60727460,221126651,125126651,96000000,1768463801,1666507327,49418340,2609309,49928824,38062604,12891678,177686163,7795215,0,4092345,1232713929,1799637,1038457839,701729797,336728041,0,61504502,19578689,91355732,20017527,1061870902,882675691,818108381,64567309,179195211,
LA GUADALUPE,2,2025,2314387308,2222679143,83231263,0,79252139,221126651,125126651,96000000,1770163731,1662668144,56978104,2441219,48076263,34733214,15274878,178346979,7418247,0,4092345,1241562882,5028091,1044953447,684036442,360917004,0,58334662,20635638,91708165,20902877,1072824429,890530800,825963491,64567309,182293629,
LA GUADALUPE,3,2025,2333953059,2241493214,88562179,0,83833685,221126651,125126651,96000000,1779094164,1667838943,59910658,2592655,48751907,34451409,16616502,179069522,10940287,0,4092345,1257684745,2121921,1062687387,695731922,366955464,0,54178220,21758138,92459845,24479231,1076268317,906651360,839543125,67108235,169616957,
LA GUADALUPE,4,2025,2338046722,2244939361,92194765,0,86146155,221126651,125126651,96000000,1779140875,1669228292,59132862,2802200,47977518,36457726,17930437,179759489,7344434,0,4092345,1257173863,1912137,1066977239,711104156,355873082,0,51348918,21466841,93107361,22361364,1080872862,910409109,843300874,67108235,170463752,
LA GUADALUPE,5,2025,2359097892,2265160345,108062595,0,100329538,221126651,125126651,96000000,1774151838,1654498240,77068027,3020353,39565217,35057361,27875724,180727263,6474646,0,5621814,1270234173,2399266,1080763559,719892474,360771082,0,47470207,21889027,93937547,23774563,1088863724,915266830,848158594,67108235,173596894,
LA GUADALUPE,6,2025,2385821040,2291529960,119221186,0,110417930,222226751,124726651,97500100,1780121795,1655673985,77863414,2670376,43914017,43410243,27875724,181178109,6165418,0,5621814,1289945298,3078738,1104438001,739783612,363851082,0,43644880,22517211,94291080,21975386,1095875745,920068604,852960368,67108235,175807141,
LA GUADALUPE,7,2025,2418406445,2323365857,153765704,0,145261370,224726751,124726651,100000100,1780251998,1667527576,59822880,2860731,50040809,40341815,26507724,182149632,5041007,0,5621814,1316322781,2034146,1133573952,765922678,366345982,0,40974544,22995001,95040588,21704548,1102083668,922743302,855635066,67108235,179340365,
LA GUADALUPE,8,2025,2436031065,2340316223,144329766,0,136066723,224757282,124757182,100000100,1810937609,1697520658,57951386,3946699,51518865,35894505,26507724,183799235,4183130,0,5621814,1324768833,2577456,1143140227,772024020,369387982,0,38474544,22963601,95714842,21898160,1111262235,926855144,859746908,67108235,184407091,
LA GUADALUPE,9,2025,2448095014,2352102177,132765769,0,124127718,244757282,144757182,100000100,1801152896,1696579803,59854374,2937567,41781151,37489401,36841104,184788285,4678463,0,5621814,1328731225,3024807,1148462249,773796434,372660382,0,35803249,22861835,95992837,22586246,1119363792,929790071,862681835,67108235,189573721,
LA GUADALUPE,10,2025,2467655698,2370843267,154990215,0,145793066,244795482,144795382,100000100,1797592065,1703803837,45372755,3062111,45353360,38091886,36387904,185707278,4469054,0,5621814,1337947370,2241607,1160945383,787865341,370661882,0,32536634,22831728,96812431,22579585,1129708330,935006137,867897901,67108235,194702193,
LA GUADALUPE,11,2025,2478622041,2382291697,123422815,0,113627776,245795482,144795382,101000100,1832031358,1739065156,44917420,2478328,45570453,43397911,36387904,186790508,5174249,0,5621814,1333839503,2685545,1162129713,786051354,373152382,0,32376207,16939285,96330344,23378406,1144782540,944802852,871530699,73272153,199979688,
LA GUADALUPE,12,2025,2502129112,2402462848,141707053,0,128828850,248078164,146078164,102000000,1836874473,1743856515,46223997,2030798,44763162,41584670,36502317,187120048,4640573,0,5621814,1358415164,3133291,1182916256,789026940,387422382,0,32028613,16887245,99666264,23783492,1143713950,951091977,877819824,73272153,192621972,
LA GUADALUPE,1,2026,2517048054,2416692786,144593276,0,128745021,248078164,146078164,102000000,1853546394,1744432153,62977490,5332103,40804646,38777517,32935803,187619867,5875219,0,5621814,1364272581,2928935,1188412550,788038949,393220764,0,31753230,17962553,100355268,22860042,1152775475,953703066,880430913,73272153,199072408,
LA GUADALUPE,2,2026,2562541832,2461502156,166936677,0,147378232,252078164,146078164,106000000,1871247448,1758127424,66854780,5618865,40646378,40599545,31933337,188102797,6022050,0,5621814,1403435294,2962614,1217635196,801383926,406056264,0,31753230,24780594,101039676,25263981,1159106541,956545178,883273025,73272153,202561362,
LA GUADALUPE,3,2026,2609802315,2508056091,192376106,,,252078164,,,1896221926,,,,,35465625,30792134,,6799585,0,5621814,1448799963,3312583,1264214749,819751720,434188264,0,31576492,22026665,101746223,25923248,1161002352,971809635,895329594,76480041,189192716,190446957
MARIA CLARET,3,2026,710844929,683111255,42218668,,,131785999,,,463131403,,,,,6771018,3949766,,1074007,0,3374741,558188885,3991762,403604380,194110391,204226785,0,119948471,817707,27733673,2092890,152656043,136008026,118984074,17023952,16648016,58539324
MARIA CLARET,1,2019,213463640,213463640,12880853,0,8722541,40174006,27561414,11080000,160408781,104847281,48879002,186108,6496388,0,0,0,0,0,0,0,0,0,55637781,51421723,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,2,2019,214725757,214725757,11382947,0,7259233,40320800,27702428,11080000,163022010,99195438,57157354,174515,6494702,0,0,0,0,0,0,0,0,0,56157971,52883613,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,3,2019,213859973,213859973,11629319,0,7078556,40321041,27702461,11080000,161909613,97491321,57746493,206587,6465211,0,0,0,0,0,0,0,0,0,57017335,53377399,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,4,2019,215144583,215144583,13457028,0,8877497,40321444,27702467,11080000,161366111,109793682,45042310,80539,6449579,0,0,0,0,0,0,0,0,0,58572589,53271678,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,5,2019,235205983,235205983,22921166,0,18801432,40798953,28789578,10161000,171485864,58406161,112080007,648855,350841,0,0,0,0,0,0,0,0,0,71443334,60518033,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,6,2019,216335675,216335675,14945865,0,11217228,40325874,27702508,11080000,161063936,109592406,46092994,104703,5273833,0,0,0,0,0,0,0,0,0,60845463,54296008,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,7,2019,219158552,219158552,12195773,0,8254051,38326251,25702514,11080000,168636528,117792480,45395330,115310,5333407,0,0,0,0,0,0,0,0,0,61970469,56810645,0,0,0,0,0,0,0,0,0,0,
