COOPERATIVA,MES#,AÑO,INGRESOS,Productos Financieros,Productos x Servicios,Otros Productos,Ingresos Anteriores,EGRESOS,Gastos Financieros,Gastos de Administracion,Otros Gastos,Gastos Anteriores,EXCEDENTES
15 DE SEPTIEMBRE,2,2023,12618604,12285919,320342,0,12343,9010312,3029998,5979035,0,1279,3608292
15 DE SEPTIEMBRE,3,2023,19052792,18446751,583686,12,22343,13853206,4623984,9227943,0,1279,5199586
15 DE SEPTIEMBRE,4,2023,25290282,24522753,745174,12,22343,18728365,6177238,12549848,0,1279,6561917
15 DE SEPTIEMBRE,5,2023,31963091,30998808,926928,12,37343,23931785,7746198,16184308,0,1279,8031306
15 DE SEPTIEMBRE,6,2023,38534361,37419537,1067469,12,47343,28932920,9325148,19582841,0,24931,9601441
15 DE SEPTIEMBRE,7,2023,45097943,43801313,1249275,12,47343,33959935,10883786,23051218,0,24931,11138008
15 DE SEPTIEMBRE,8,2023,51690692,50202154,1426183,12,62343,39017553,12472472,26520150,0,24931,12673139
15 DE SEPTIEMBRE,9,2023,58550176,56772860,1704961,12,72343,44332393,14045767,30261695,0,24931,14217783
15 DE SEPTIEMBRE,10,2023,66312140,64259702,1975083,12,77343,49535373,15799001,33711441,0,24931,16776767
15 DE SEPTIEMBRE,11,2023,73504359,71023993,2321634,71389,87343,54863060,17397635,37393321,47173,24931,18641299
15 DE SEPTIEMBRE,12,2023,80487789,77676310,2646211,77925,87343,60092795,18963054,41050564,54246,24931,20394994
15 DE SEPTIEMBRE,1,2024,6952871,6760849,177404,0,14618,4659112,1573068,3083380,2023,641,2293759
15 DE SEPTIEMBRE,2,2024,14073395,13544713,502266,0,26416,9920114,3145721,6771729,2023,641,4153281
15 DE SEPTIEMBRE,3,2024,21978387,21178839,773132,0,26416,15355061,4763822,10588575,2023,641,6623326
15 DE SEPTIEMBRE,4,2024,29376315,28375486,974413,0,26416,21154390,6403233,14702623,47893,641,8221925
15 DE SEPTIEMBRE,5,2024,36941071,35688664,1225991,0,26416,27169788,8289677,18831577,47893,641,9771283
15 DE SEPTIEMBRE,6,2024,44392229,42752722,1470541,0,168966,33780225,10192051,23506152,68381,13641,10612004
15 DE SEPTIEMBRE,7,2024,52130666,50205698,1756002,0,168966,39991030,12230831,27678177,68381,13641,12139636
15 DE SEPTIEMBRE,8,2024,60050490,57886143,1995381,0,168966,46822639,14318020,32422597,68381,13641,13227851
15 DE SEPTIEMBRE,9,2024,68152566,65767033,2216567,0,168966,53925848,16453291,37390535,68381,13641,14226718
15 DE SEPTIEMBRE,10,2024,77772395,75224986,2378425,18,168966,60501944,18601408,41818514,68381,13641,17270451
15 DE SEPTIEMBRE,11,2024,86359680,83575605,2545696,18,238361,68059350,20789604,47187724,68381,13641,18300330
