COOPERATIVA,MES#,AÑO,INGRESOS,Productos Financieros,Productos x Servicios,Otros Productos,Ingresos Anteriores,EGRESOS,Gastos Financieros,Gastos de Administracion,Otros Gastos,Gastos Anteriores,EXCEDENTES
EMPLEADOS LA REYNA Y STIBYS,12,2020,17980107,17869993,110114,0,0,11782647,3784611,5043822,2954214,0,6197460
EMPLEADOS LA REYNA Y STIBYS,1,2021,17980107,17869993,110114,0,0,11782647,3784611,5043822,2954214,0,6197460
EMPLEADOS LA REYNA Y STIBYS,2,2021,3007711,2977716,29995,0,0,1129267,644659,478336,6272,0,1878444
EMPLEADOS LA REYNA Y STIBYS,3,2021,4602129,4561132,40997,0,0,1714069,974325,710815,28929,0,2888060
EMPLEADOS LA REYNA Y STIBYS,4,2021,4602129,4561132,40997,0,0,1714069,974325,710815,28929,0,2888060
EMPLEADOS LA REYNA Y STIBYS,5,2021,7822581,7766649,55932,0,0,2838604,1664645,1130306,43653,0,4983977
EMPLEADOS LA REYNA Y STIBYS,6,2021,9494015,9427763,66252,0,0,5359421,2037004,1530823,1791594,0,4134594
EMPLEADOS LA REYNA Y STIBYS,7,2021,11061464,10980107,81357,0,0,5982399,2424191,1762947,1795261,0,5079065
EMPLEADOS LA REYNA Y STIBYS,8,2021,12564152,12474380,89772,0,0,6620773,2811992,2009700,1799081,0,5943379
EMPLEADOS LA REYNA Y STIBYS,9,2021,14160813,14061261,99552,0,0,7438428,3206682,2424355,1807391,0,6722385
EMPLEADOS LA REYNA Y STIBYS,10,2021,15775633,15666971,108662,0,0,8062735,3599914,2654702,1808119,0,7712898
EMPLEADOS LA REYNA Y STIBYS,11,2021,17413508,17294901,118607,0,0,11202574,3998144,3125992,4078438,0,6210934
EMPLEADOS LA REYNA Y STIBYS,12,2021,18855054,18728647,126407,0,0,12583028,4382292,4115954,4084782,0,6272026
EMPLEADOS LA REYNA Y STIBYS,1,2022,1575568,1562448,13120,0,0,593906,414290,177121,2495,0,981662
EMPLEADOS LA REYNA Y STIBYS,2,2022,3223797,3195507,28290,0,0,1297396,839879,447711,9806,0,1926401
EMPLEADOS LA REYNA Y STIBYS,3,2022,4899373,4861468,37905,0,0,2425465,1272962,1126017,26486,0,2473908
EMPLEADOS LA REYNA Y STIBYS,4,2022,6590121,6543787,46334,0,0,3114398,1711219,1339630,63549,0,3475723
EMPLEADOS LA REYNA Y STIBYS,5,2022,8305231,8251652,53579,0,0,3828300,2154117,1604108,70075,0,4476931
EMPLEADOS LA REYNA Y STIBYS,6,2022,10026388,9959649,66739,0,0,6890722,2771087,2001495,2118140,0,3135666
EMPLEADOS LA REYNA Y STIBYS,7,2022,11727780,11649270,78510,0,0,7584200,3237609,2227131,2119460,0,4143580
EMPLEADOS LA REYNA Y STIBYS,8,2022,13465753,13378638,87115,0,0,8355485,3707253,2524730,2123502,0,5110268
EMPLEADOS LA REYNA Y STIBYS,9,2022,15228382,15130467,97915,0,0,9087238,4197898,2759523,2129817,0,6141144
EMPLEADOS LA REYNA Y STIBYS,10,2022,17056719,16950439,106280,0,0,9877256,4689594,3053635,2134027,0,7179463
EMPLEADOS LA REYNA Y STIBYS,11,2022,18899057,18786797,112260,0,0,10598859,5183743,3280010,2135106,0,8300198
EMPLEADOS LA REYNA Y STIBYS,12,2022,20518799,20402124,116675,0,0,14592782,5671901,4540246,4380635,0,5926017
EMPLEADOS LA REYNA Y STIBYS,1,2023,1785615,1770520,15095,0,0,729370,508865,215041,5464,0,1056245
EMPLEADOS LA REYNA Y STIBYS,2,2023,3585610,3556970,28640,0,0,1542091,1021149,513383,7559,0,2043519
EMPLEADOS LA REYNA Y STIBYS,3,2023,5406885,5369325,37560,0,0,2988065,1564384,1413011,10670,0,2418820
EMPLEADOS LA REYNA Y STIBYS,4,2023,7235120,7192600,42520,0,0,3805987,2128495,1649801,27691,0,3429133
EMPLEADOS LA REYNA Y STIBYS,5,2023,9089477,9040622,48855,0,0,4674182,2691900,1951715,30567,0,4415295
EMPLEADOS LA REYNA Y STIBYS,6,2023,10967821,10906431,61390,0,0,7912544,3263852,2457753,2190939,0,3055277
EMPLEADOS LA REYNA Y STIBYS,7,2023,12841491,12767086,74405,0,0,8762765,3840655,2728086,2194024,0,4078726
EMPLEADOS LA REYNA Y STIBYS,8,2023,15261130,15175190,85940,0,0,9624807,4428022,2999821,2196964,0,5636323
EMPLEADOS LA REYNA Y STIBYS,9,2023,17161454,17065639,95815,0,0,10603803,5025972,3377470,2200361,0,6557651
EMPLEADOS LA REYNA Y STIBYS,10,2023,19009397,18900352,109045,0,0,11507830,5630407,3672502,2204921,0,7501567
EMPLEADOS LA REYNA Y STIBYS,11,2023,21048003,20928658,119345,0,0,12471922,6246008,4012416,2213498,0,8576081
EMPLEADOS LA REYNA Y STIBYS,12,2023,22397752,22272527,125225,0,0,16604681,6843345,5127226,4634110,0,5793071
EMPLEADOS LA REYNA Y STIBYS,1,2024,1994222,1966092,28130,0,0,894615,630242,256129,8244,0,1099607
EMPLEADOS LA REYNA Y STIBYS,2,2024,4046500,4007270,39230,0,0,2009950,1295578,701005,13367,0,2036550
EMPLEADOS LA REYNA Y STIBYS,3,2024,6068355,6019760,48595,0,0,3414172,1940902,1441162,32108,0,2654183
EMPLEADOS LA REYNA Y STIBYS,4,2024,8122442,8065622,56820,0,0,4446801,2601934,1810293,34574,0,3675641
EMPLEADOS LA REYNA Y STIBYS,5,2024,10189258,10122048,67210,0,0,5453986,3273423,2126885,53678,0,4735272
EMPLEADOS LA REYNA Y STIBYS,6,2024,12254713,12173268,81445,0,0,9092059,3946747,2625005,2520307,0,3162654
EMPLEADOS LA REYNA Y STIBYS,7,2024,14279541,14187051,92490,0,0,10152835,4619762,3016169,2516904,0,4126706
EMPLEADOS LA REYNA Y STIBYS,8,2024,16402491,16298529,103962,0,0,11239605,5301220,3425466,2512919,0,5162886
EMPLEADOS LA REYNA Y STIBYS,9,2024,18503868,18390576,113292,0,0,12362311,6000685,3849165,2512461,0,6141557
EMPLEADOS LA REYNA Y STIBYS,10,2024,20672544,20549587,122957,0,0,13425648,6701172,4209221,2515255,0,7246896
EMPLEADOS LA REYNA Y STIBYS,11,2024,22832129,22701352,130777,0,0,14472570,7390035,4565349,2517186,0,8359559
EMPLEADOS LA REYNA Y STIBYS,12,2024,24687945,24550218,137727,0,0,19264224,8068247,6096862,5099115,0,5423721
EMPLEADOS LA REYNA Y STIBYS,1,2025,2117063,2091234,25829,0,0,1007558,711482,290168,5908,0,1109505
EMPLEADOS LA REYNA Y STIBYS,2,2025,4236616,4192957,43659,0,0,2175718,1446907,719705,9106,0,2060898
EMPLEADOS LA REYNA Y STIBYS,3,2025,6398695,6340904,57791,0,0,4716206,2208064,1736407,771735,0,1682489
EMPLEADOS LA REYNA Y STIBYS,4,2025,8572203,8506387,65816,0,0,5892768,2981393,2095867,815508,0,2679435
EMPLEADOS LA REYNA Y STIBYS,5,2025,10976061,10902810,73251,0,0,7044791,3769651,2459396,815744,0,3931270
EMPLEADOS LA REYNA Y STIBYS,6,2025,13363052,13277466,85586,0,0,8542836,4569616,3154013,819207,0,4820216
EMPLEADOS LA REYNA Y STIBYS,7,2025,15614495,15517074,97421,0,0,9830543,5392258,3617540,820745,0,5783952
EMPLEADOS LA REYNA Y STIBYS,8,2025,17930370,17820484,109886,0,0,11751636,6225156,3951756,1574724,0,6178734
EMPLEADOS LA REYNA Y STIBYS,9,2025,20537252,20418016,119236,0,0,12918998,7064261,4277748,1576989,0,7618254
EMPLEADOS LA REYNA Y STIBYS,10,2025,23133308,23003417,129891,0,0,14241165,7954728,4704843,1581594,0,8892143
EMPLEADOS LA REYNA Y STIBYS,11,2025,25716030,25579059,136971,0,0,15490141,8798259,5103792,1588090,0,10225889
EMPLEADOS LA REYNA Y STIBYS,12,2025,27066934,26918808,148126,0,0,20789754,9636814,6333099,4819841,0,6277180
EMPLEADOS LA REYNA Y STIBYS,1,2026,2496335,2481615,14720,0,0,1279381,857769,419403,2209,0,1216954
EMPLEADOS LA REYNA Y STIBYS,2,2026,4992392,4967657,24735,0,0,2845353,1726734,1113492,5127,0,2147039
EMPLEADOS LA REYNA Y STIBYS,3,2026,7631715,7587220,44495,0,0,5114526,2622920,1931439,560167,0,2517187
EMPLEADOS PODER JUDICIAL,3,2026,14389641,14389641,0,0,0,7707316,4026466,3680850,0,0,6682323
CACESPROL,2,2019,3221992,3221292,700,0,0,1951140,1498596,452544,0,0,1270852
CACESPROL,3,2019,4882721,4880671,2050,0,0,3111264,2260524,850740,0,0,1771457
CACESPROL,4,2019,6597413,6594563,2850,0,0,4276012,3025835,1250177,0,0,2321401
CACESPROL,5,2019,8637991,8636619,1372,0,0,6165462,4281533,1883929,0,0,2472529
CACESPROL,6,2019,10024379,10019929,4450,0,0,6758484,4633464,2065020,60000,0,3265895
CACESPROL,7,2019,11769168,11764508,4660,0,0,7848946,5442751,2336195,70000,0,3920222
CACESPROL,8,2019,13518044,13512634,5410,0,0,8971290,6250612,2640678,80000,0,4546754
CACESPROL,9,2019,15332265,15324693,7572,0,0,10234206,7061793,3082413,90000,0,5098059
CACESPROL,10,2019,17104363,17104363,0,0,0,11475419,7822893,3552526,100000,0,5628944
CACESPROL,11,2019,18924762,18924762,0,0,0,12612063,8651551,3850512,110000,0,6312699
CACESPROL,12,2019,20799794,20799794,0,0,0,18871320,9526420,6865029,2479871,0,1928474
CACESPROL,1,2020,1733854,1733486,368,0,0,1117051,852150,254901,10000,0,616803
CACESPROL,2,2020,3458504,3457786,718,0,0,2283602,1658212,625390,0,0,1174902
CACESPROL,3,2020,5195628,5194356,1272,0,0,3653996,2524670,1129326,0,0,1541632
CACESPROL,4,2020,6926562,6925240,1322,0,0,4940731,3397059,1543672,0,0,1985831
CACESPROL,5,2020,8637991,8636619,1372,0,0,6165462,4281533,1883929,0,0,2472529
CACESPROL,6,2020,10469236,10467864,1372,0,0,7453317,5181614,2271703,0,0,3015919
CACESPROL,7,2020,12168236,12158292,9944,0,0,8625276,6093558,2473511,0,58207,3542960
CACESPROL,8,2020,13901363,13891269,10094,0,0,9814783,7009759,2746817,0,58207,4086580
CACESPROL,10,2020,17353516,17335995,17521,0,0,12336483,8867346,3410930,0,58207,5017033
CACESPROL,11,2020,19089105,19071584,17521,0,0,13685977,9811791,3815979,0,58207,5403128
CACESPROL,12,2020,20805645,20788074,17571,0,0,19823664,10760646,7852933,1155269,54816,981981
CACESPROL,1,2021,1761357,1752190,9167,0,0,1182769,942331,240438,0,0,578588
CACESPROL,2,2021,3510862,3501295,9567,0,0,2411232,1899541,511691,0,0,1099630
CACESPROL,3,2021,5301286,5290546,1573,0,9167,3948649,2861585,1087064,0,0,1352637
CACESPROL,4,2021,7095209,7080073,5254,0,9882,5216004,3826643,1387681,0,1680,1879205
CACESPROL,5,2021,8876591,8860052,6657,0,9882,6875030,4797105,2076245,0,1680,2001561
CACESPROL,6,2021,10672360,10655771,6707,0,9882,8205860,5775514,2428666,0,1680,2466500
CACESPROL,7,2021,12497654,12480965,6807,0,9882,9687284,6761536,2924068,0,1680,2810370
CACESPROL,8,2021,14310333,14293494,6957,0,9882,11105087,7757054,3346353,0,1680,3205246
CACESPROL,9,2021,16103927,16086988,7057,0,9882,12556847,8749121,3806046,0,1680,3547080
CACESPROL,10,2021,17905375,17888336,7157,0,9882,14021935,9713750,4306505,0,1680,3883440
CACESPROL,11,2021,19701897,19684858,7157,0,9882,15504049,10674265,4828104,0,1680,4197848
CACESPROL,12,2021,21583362,21548917,7207,0,27238,20883413,11640608,8886261,352915,3629,699949
CACESPROL,1,2022,1855392,1855368,0,0,24,1379686,961923,410799,0,6964,475706
CACESPROL,2,2022,3651618,3648444,150,0,3024,2688203,1934535,746267,0,7401,963415
CACESPROL,3,2022,5459981,5456707,250,0,3024,4276157,2921245,1347511,0,7401,1183824
CACESPROL,4,2022,7329259,7325985,250,0,3024,5639321,3921370,1710550,0,7401,1689938
CACESPROL,5,2022,9256232,9251966,1242,0,3024,7656085,4937077,2711607,0,7401,1600147
CACESPROL,6,2022,11173274,11164251,5999,0,3024,9100756,5957120,3136235,0,7401,2072518
CACESPROL,7,2022,13092008,13077457,11527,0,3024,10476151,6983988,3484762,0,7401,2615857
CACESPROL,8,2022,15075161,15057812,14325,0,3024,11891408,8013156,3870851,0,7401,3183753
CACESPROL,9,2022,17098480,17080681,14775,0,3024,13536987,9023741,4505845,0,7401,3561493
CACESPROL,11,2022,22143407,21105478,16005,0,1021924,16472989,11070794,5394794,0,7401,5670418
CACESPROL,12,2022,24429491,23148323,20244,0,1260924,22053228,12074118,8773863,1198116,7131,2376263
CACESPROL,1,2023,2016424,2015646,400,0,378,1355925,1018086,332690,0,5149,660499
CACESPROL,2,2023,3995329,3994231,720,0,378,2757839,2050794,697247,0,9798,1237490
CACESPROL,3,2023,6056154,6052578,3198,0,378,4429340,3075383,1344159,0,9798,1626814
CACESPROL,4,2023,8079342,8070696,3748,0,4898,6524030,4109074,2405158,0,9798,1555312
CACESPROL,5,2023,10084205,10075009,4298,0,4898,8185791,5127821,3048172,0,9798,1898414
CACESPROL,6,2023,12189658,12180212,4548,0,4898,9756318,6161392,3584912,0,10014,2433340
CACESPROL,7,2023,14155419,14145313,5208,0,4898,11149485,7202714,3936757,0,10014,3005934
CACESPROL,8,2023,16199659,16187345,7416,0,4898,12681286,8255471,4415801,0,10014,3518373
CACESPROL,9,2023,18280735,18268021,7816,0,4898,14367758,9305610,5049235,0,12913,3912977
CACESPROL,10,2023,20361652,20347588,9166,0,4898,15996019,10355342,5627764,0,12913,4365633
CACESPROL,11,2023,22464525,22441621,18006,0,4898,17721244,11413032,6295299,0,12913,4743281
CACESPROL,12,2023,24601230,24578076,18256,0,4898,22081368,12466179,8815912,782569,16708,2519862
CACESPROL,1,2024,2120461,2114834,1780,0,3847,1439782,1057879,381903,0,0,680679
CACESPROL,2,2024,4231146,4223929,3370,0,3847,2912120,2124011,788109,0,0,1319026
CACESPROL,3,2024,6373808,6366441,3520,0,3847,4773467,3198102,1544400,0,30965,1600341
CACESPROL,4,2024,8539151,8531484,3820,0,3847,7074688,4282126,2761597,0,30965,1464463
CACESPROL,5,2024,10726730,10716128,6755,0,3847,8859448,5379443,3449040,0,30965,1867282
CACESPROL,6,2024,12978411,12962260,12304,0,3847,10555825,6489087,4035773,0,30965,2422586
CACESPROL,7,2024,15234963,15212949,18167,0,3847,12227640,7612660,4584015,0,30965,3007323
CACESPROL,8,2024,17532773,17510759,18167,0,3847,13767415,8747023,4989427,0,30965,3765358
CACESPROL,9,2024,19877088,19855024,18217,0,3847,15626460,9893972,5701523,0,30965,4250628
CACESPROL,10,2024,22256832,22234418,18567,0,3847,17347980,11057558,6259457,0,30965,4908852
CACESPROL,11,2024,24677752,24654838,19067,0,3847,19146218,12285223,6830030,0,30965,5531534
CACESPROL,12,2024,27133882,27110718,19317,0,3847,24325455,13454709,9753809,1085972,30965,2808427
CACESPROL,1,2025,2463575,2441361,100,0,22114,1573155,1176626,396529,0,0,890420
CACESPROL,2,2025,4912146,4889782,250,0,22114,3183710,2361096,822614,0,0,1728436
CACESPROL,3,2025,7354537,7330243,650,0,23644,4989952,3549706,1438207,0,2039,2364585
CACESPROL,4,2025,9807743,9783349,750,0,23644,6811673,4744240,2063394,0,4039,2996070
CACESPROL,5,2025,12260351,12235807,900,0,23644,9085783,5947458,3134286,0,4039,3174568
CACESPROL,6,2025,14712999,14688355,1000,0,23644,10911298,7156579,3752680,0,2039,3801701
CACESPROL,7,2025,17195864,17170056,2164,0,23644,12576680,8374718,4199923,0,2039,4619184
CACESPROL,8,2025,19669373,19643515,2214,0,23644,14271144,9603530,4665575,0,2039,5398229
CACESPROL,9,2025,22168189,22140281,2264,2000,23644,16437479,10836960,5598480,0,2039,5730710
CACESPROL,10,2025,24671256,24642354,3258,2000,23644,18167844,12077892,6087913,0,2039,6503412
CACESPROL,11,2025,27158950,27121881,11425,2000,23644,20068551,13333529,6732983,0,2039,7090399
CACESPROL,12,2025,29820402,29609123,67931,2000,141348,26377027,14581402,10444287,1328477,22861,3443375
CACESPROL,1,2026,2463479,2463429,50,0,0,1717707,1259266,446483,0,11958,745772
CACESPROL,2,2026,4934429,4926929,7500,0,0,3453315,2525515,912915,0,14885,1481114
ESFUERZO LANGÜEÑO,1,2019,837906,830756,7050,100,0,837906,301646,533325,2935,0,0
ESFUERZO LANGÜEÑO,2,2019,1663640,1650825,11706,1109,0,1663640,601980,1055125,6535,0,0
ESFUERZO LANGÜEÑO,3,2019,2579154,2560809,16915,1430,0,2479153,902221,1564797,12135,0,100001
ESFUERZO LANGÜEÑO,4,2019,3527829,3505771,20307,1751,0,3327829,1199557,2108187,20085,0,200000
ESFUERZO LANGÜEÑO,5,2019,4128610,4097613,29392,1605,0,3903610,1549416,2343594,10600,0,225000
ESFUERZO LANGÜEÑO,6,2019,5445148,5407501,35254,2393,0,5045149,1791819,3227395,25935,0,399999
ESFUERZO LANGÜEÑO,7,2019,6503386,6422941,77731,2714,0,6023386,2091288,3899913,32185,0,480000
ESFUERZO LANGÜEÑO,8,2019,7472452,7314115,155302,3035,0,6972451,2392909,4543207,36335,0,500001
ESFUERZO LANGÜEÑO,9,2019,8418412,8253488,161568,3356,0,7868412,2695694,5135033,37685,0,550000
ESFUERZO LANGÜEÑO,10,2019,9284435,9115348,165410,3677,0,8709435,2998202,5672798,38435,0,575000
ESFUERZO LANGÜEÑO,11,2019,10299273,10121463,173812,3998,0,9674272,3300553,6329727,43992,0,625001
ESFUERZO LANGÜEÑO,12,2019,11592278,11397546,190413,4319,0,10941079,3610084,7283403,47592,0,651199
ESFUERZO LANGÜEÑO,1,2020,866648,858459,7868,321,0,816648,310327,503621,2700,0,50000
ESFUERZO LANGÜEÑO,2,2020,1883973,1863508,19823,642,0,1733973,620259,1106164,7550,0,150000
ESFUERZO LANGÜEÑO,3,2020,2697568,2669998,26607,963,0,2497569,929819,1557850,9900,0,199999
ESFUERZO LANGÜEÑO,4,2020,3484360,3455134,27942,1284,0,3259360,1239026,2010034,10300,0,225000
ESFUERZO LANGÜEÑO,5,2020,4128610,4097613,29392,1605,0,3903610,1549416,2343594,10600,0,225000
ESFUERZO LANGÜEÑO,6,2020,4950210,4904004,44280,1926,0,4700210,1862793,2826017,11400,0,250000
ESFUERZO LANGÜEÑO,8,2020,6626432,6571769,52095,2568,0,6326432,2510217,3802815,13400,0,300000
ESFUERZO LANGÜEÑO,9,2020,7704291,7645291,56111,2889,0,7126394,2845001,4267343,14050,0,577897
ESFUERZO LANGÜEÑO,10,2020,8689415,8601906,84299,3210,0,7961516,3187161,4758705,15650,0,727899
ESFUERZO LANGÜEÑO,11,2020,9535767,9438043,94193,3531,0,8754868,3535329,5203739,15800,0,780899
ESFUERZO LANGÜEÑO,2,2021,1755800,1749306,5852,642,0,1445800,715637,728363,1800,0,310000
ESFUERZO LANGÜEÑO,3,2021,2560706,2540361,19382,963,0,2180706,1074382,1103024,3300,0,380000
ESFUERZO LANGÜEÑO,4,2021,3426196,3403780,21132,1284,0,2926197,1441066,1480881,4250,0,499999
ESFUERZO LANGÜEÑO,5,2021,4497677,4467649,28423,1605,0,3787676,1812226,1970300,5150,0,710001
ESFUERZO LANGÜEÑO,6,2021,5617338,5573437,41975,1926,0,4617338,2185798,2424940,6600,0,1000000
ESFUERZO LANGÜEÑO,7,2021,6475652,6405108,68297,2247,0,5325653,2489770,2828483,7400,0,1149999
ESFUERZO LANGÜEÑO,8,2021,7323757,7248818,72371,2568,0,6073756,2790651,3273705,9400,0,1250001
ESFUERZO LANGÜEÑO,9,2021,8212477,8131753,77835,2889,0,6812477,3094325,3707352,10800,0,1400000
ESFUERZO LANGÜEÑO,10,2021,9070941,8986596,81135,3210,0,7520940,3401794,4107196,11950,0,1550001
ESFUERZO LANGÜEÑO,11,2021,9907416,9813954,89931,3531,0,8257415,3708532,4535583,13300,0,1650001
ESFUERZO LANGÜEÑO,12,2021,11053058,10953674,95532,3852,0,10382322,4014070,6352652,15600,0,670736
ESFUERZO LANGÜEÑO,1,2022,749094,745723,3050,321,0,699093,306849,391244,1000,0,50001
ESFUERZO LANGÜEÑO,2,2022,1656663,1648564,7457,642,0,1462663,623020,836993,2650,0,194000
ESFUERZO LANGÜEÑO,3,2022,2655792,2643645,11184,963,0,2265791,944364,1316377,5050,0,390001
ESFUERZO LANGÜEÑO,4,2022,3510421,3495603,13534,1284,0,3026267,1267941,1750126,8200,0,484154
ESFUERZO LANGÜEÑO,5,2022,4443487,4425248,16634,1605,0,3749137,1597947,2141890,9300,0,694350
ESFUERZO LANGÜEÑO,6,2022,5293328,5263659,27743,1926,0,4511955,1932828,2568227,10900,0,781373
ESFUERZO LANGÜEÑO,7,2022,6449908,6409743,37918,2247,0,5421752,2275141,3134511,12100,0,1028156
ESFUERZO LANGÜEÑO,8,2022,7771467,7719631,49268,2568,0,6471468,2627744,3826924,16800,0,1299999
ESFUERZO LANGÜEÑO,9,2022,8783521,8723714,56918,2889,0,7383521,2982677,4382394,18450,0,1400000
ESFUERZO LANGÜEÑO,10,2022,9947640,9881112,63318,3210,0,8347640,3339175,4987715,20750,0,1600000
ESFUERZO LANGÜEÑO,11,2022,10984721,10903133,78347,3241,0,9284720,3700831,5549239,34650,0,1700001
ESFUERZO LANGÜEÑO,12,2022,12163158,12071019,88898,3241,0,11349157,4064803,7246086,38268,0,814001
ESFUERZO LANGÜEÑO,1,2023,980353,974453,5900,0,0,810353,367943,442410,0,0,170000
ESFUERZO LANGÜEÑO,2,2023,2010237,1989333,20904,0,0,1710238,731834,974054,4350,0,299999
ESFUERZO LANGÜEÑO,3,2023,3136179,3102565,33614,0,0,2766179,1107490,1647999,10690,0,370000
ESFUERZO LANGÜEÑO,4,2023,4331365,4288451,42914,0,0,3681365,1481759,2180466,19140,0,650000
ESFUERZO LANGÜEÑO,5,2023,5785921,5731807,54114,0,0,4585922,1862968,2698764,24190,0,1199999
ESFUERZO LANGÜEÑO,6,2023,6998578,6939364,59214,0,0,5498578,2247273,3221065,30240,0,1500000
ESFUERZO LANGÜEÑO,7,2023,8216232,8145648,70584,0,0,6416232,2638213,3743964,34055,0,1800000
ESFUERZO LANGÜEÑO,8,2023,9535123,9445335,89788,0,0,7535123,2977422,4519596,38105,0,2000000
ESFUERZO LANGÜEÑO,9,2023,11185624,11085556,100068,0,0,8485623,3312984,5131104,41535,0,2700001
ESFUERZO LANGÜEÑO,10,2023,12498536,12377511,121025,0,0,9498536,3658172,5796229,44135,0,3000000
ESFUERZO LANGÜEÑO,11,2023,13878238,13741283,136955,0,0,10523238,4007125,6466777,49336,0,3355000
ESFUERZO LANGÜEÑO,12,2023,15417112,15253554,163558,0,0,14387401,4340255,9991516,55630,0,1029711
ESFUERZO LANGÜEÑO,1,2024,1490746,1473834,16912,0,0,1190746,334962,853484,2300,0,300000
ESFUERZO LANGÜEÑO,2,2024,2959757,2929308,30449,0,0,2509758,686171,1816737,6850,0,449999
ESFUERZO LANGÜEÑO,3,2024,4442326,4392526,49800,0,0,3542326,1023699,2506327,12300,0,900000
ESFUERZO LANGÜEÑO,4,2024,5989252,5932199,57053,0,0,4789252,1362165,3407987,19100,0,1200000
ESFUERZO LANGÜEÑO,5,2024,7901719,7829286,72433,0,0,6001719,1703258,4272121,26340,0,1900000
ESFUERZO LANGÜEÑO,6,2024,9445837,9362134,83703,0,0,7045836,2052207,4953981,39648,0,2400001
ESFUERZO LANGÜEÑO,7,2024,11913057,11804650,108407,0,0,8413057,2409327,5925974,77756,0,3500000
ESFUERZO LANGÜEÑO,8,2024,13733181,13607679,125502,0,0,9733181,2810710,6841965,80506,0,4000000
ESFUERZO LANGÜEÑO,9,2024,15474774,15330183,144591,0,0,10974774,3186765,7706503,81506,0,4500000
ESFUERZO LANGÜEÑO,10,2024,17282899,17104093,178806,0,0,12282899,3568865,8630528,83506,0,5000000
ESFUERZO LANGÜEÑO,11,2024,19064556,18860199,204357,0,0,13664555,3958099,9622050,84406,0,5400001
ESFUERZO LANGÜEÑO,12,2024,21105928,20850482,255446,0,0,18605928,4349589,14171933,84406,0,2500000
ESFUERZO LANGÜEÑO,1,2025,1888849,1856427,32422,0,0,1588848,394598,1193250,1000,0,300001
ESFUERZO LANGÜEÑO,2,2025,3753410,3702791,50619,0,0,2953409,829140,2122889,1380,0,800001
ESFUERZO LANGÜEÑO,3,2025,5754325,5675945,78380,0,0,4654325,1248697,3403158,2470,0,1100000
ESFUERZO LANGÜEÑO,4,2025,7869368,7767422,101946,0,0,6169369,1684359,4479540,5470,0,1699999
ESFUERZO LANGÜEÑO,5,2025,9890753,9767142,123611,0,0,7890754,2149099,5735885,5770,0,1999999
ESFUERZO LANGÜEÑO,6,2025,12042635,11899926,142709,0,0,9442634,2629571,6807293,5770,0,2600001
ESFUERZO LANGÜEÑO,7,2025,14145897,13974331,171566,0,0,10945896,3127511,7812615,5770,0,3200001
ESFUERZO LANGÜEÑO,8,2025,16517791,16309256,208535,0,0,12617791,3636611,8975410,5770,0,3900000
ESFUERZO LANGÜEÑO,9,2025,18771065,18502380,268685,0,0,14271064,4132599,10131645,6820,0,4500001
ESFUERZO LANGÜEÑO,10,2025,20895817,20590039,305778,0,0,16195817,4690932,11498065,6820,0,4700000
ESFUERZO LANGÜEÑO,11,2025,23011880,22674631,337249,0,0,17811880,5280242,12523908,7730,0,5200000
ESFUERZO LANGÜEÑO,12,2025,25663176,25216155,447021,0,0,23221175,5909446,17303999,7730,0,2442001
ESFUERZO LANGÜEÑO,1,2026,2317458,2290432,27026,0,0,1617458,607017,1009441,1000,0,700000
ESFUERZO LANGÜEÑO,2,2026,4757529,4692243,65286,0,0,3457529,1232068,2224461,1000,0,1300000
ESFUERZO LANGÜEÑO,3,2026,7208998,7111489,97509,0,0,5508997,1891954,3616043,1000,0,1700000
FE Y ESPERANZA,1,2019,1715620,1689238,11250,15132,0,1273705,487854,785851,0,0,441915
FE Y ESPERANZA,4,2019,7061784,6952412,49600,59772,0,6547790,1978367,4569423,0,0,513994
FE Y ESPERANZA,5,2019,9175669,9006845,41550,127274,0,8449316,2390076,6059240,0,0,726353
FE Y ESPERANZA,7,2019,12773079,12538731,84800,149548,0,12156615,3553751,8602864,0,0,616464
FE Y ESPERANZA,8,2019,14727221,14449146,99650,178425,0,14100457,4071492,10028965,0,0,626764
FE Y ESPERANZA,9,2019,16672873,16314475,106750,251648,0,16023380,4580747,11442633,0,0,649493
FE Y ESPERANZA,10,2019,18465138,18078739,116500,269899,0,18016353,5095306,12921047,0,0,448785
FE Y ESPERANZA,11,2019,20748713,20260900,126800,361013,0,19898453,5615143,14283310,0,0,850260
FE Y ESPERANZA,12,2019,23147556,22609182,135650,402724,0,22113032,6139268,15973764,0,0,1034524
FE Y ESPERANZA,1,2020,2058024,2016833,11350,29841,0,1564303,527995,1036308,0,0,493721
FE Y ESPERANZA,2,2020,4047167,3976840,22350,47977,0,3337728,1062457,2275271,0,0,709439
FE Y ESPERANZA,3,2020,5900878,5797880,31350,71648,0,5345987,1595948,3750039,0,0,554891
FE Y ESPERANZA,4,2020,8073048,7943411,35500,94137,0,6978569,1990500,4988069,0,0,1094479
FE Y ESPERANZA,5,2020,9175669,9006845,41550,127274,0,8449316,2390076,6059240,0,0,726353
FE Y ESPERANZA,6,2020,10786026,10570831,50800,164395,0,10261071,2799257,7461814,0,0,524955
FE Y ESPERANZA,7,2020,12259756,12003817,59900,196039,0,11999506,3201071,8798435,0,0,260250
FE Y ESPERANZA,8,2020,13965276,13667643,71600,226033,0,13636488,3599843,10036645,0,0,328788
FE Y ESPERANZA,9,2020,15801107,15463316,82250,255541,0,15153328,4007324,11146004,0,0,647779
